IDLink,Title,Headline,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn
47505.0,Microsoft software update breaks Windows 7 on some PCs - CNET,A certain patch prevents Windows 7 PCs with specific types of motherboards from booting. ,CNET,microsoft,2016-05-05 07:58:00,0.208333333333333,-0.119607229811065,104,28,404
69383.0,"Swaraj heads to Israel, Palestine in mid-Jan","External Affairs Minister Sushma Swaraj will travel to Israel and Palestine in the middle of January, sources in the government confirmed this to",Chandigarh Tribune,palestine,2015-12-29 21:04:47,0.0,-0.104257207028537,1,0,0
97047.0,"Syrian, Palestine Liberation forces captures several sites in rural ...","AhlulBayt News Agency - The Syrian Arab Army's Special Forces """""" backed by the National Defense Forces (NDF) and Palestine Liberation",Ahlul Bayt News Agency (press release),palestine,2016-05-17 07:20:27,0.0833333333333333,-0.103555713205462,1,0,0
92564.0,Obama's mess: Cuba's thanks,"The latest discord comes from Cuba's Foreign Minister Bruno Rodriguez, who called Mr. Obama's ill-advised fence-mending visit """"""an attack on",Tribune-Review,obama,2016-04-25 02:55:12,-0.171875,-0.0954961542009506,4,0,0
21012.0,Malacaang hails late NEDA chief Paderanga's contributions to PHL ...,"Malaca""""ang on Saturday hailed the contributions of former socio-economic planning secretary Cayetano Paderanga Jr. in reinvigorating the",GMA News,economy,2016-01-30 00:00:00,0.0296463530640786,0.0,42,0,0
72759.0,Palestinian Authority joins Hamas in declaring Tel Aviv gunman 'a ...,"However, the ministry removed it from the list Friday night, explaining that it documents the names of Palestinian """"""martyrs"""""" only in areas that fall",Jerusalem Post Israel News,palestine,2016-01-10 00:00:00,0.0,-0.0824623745969368,-1,-1,-1
84461.0,Iran's General Soleimani promises 'further support for Palestinian ...,Arabic language Al-Mayadeen TV Network has found an account of General Qassem Soleimani's meeting with Palestinian Hamas leaders.,Ahlul Bayt News Agency (press release),palestine,2016-03-17 14:32:20,-0.176776695296637,-0.0286769667338202,2,0,0
15146.0,How to Thrive Supernaturally if the Economy Crashes,"Amid the stock market's worst four-day start to a year on record and growing concerns about the global economy, faith leaders and financial",Charisma News,economy,2016-01-08 21:00:17,0.0883883476483184,0.0451837300643599,138,2,5
9185.0,United Brings Free Snacks Back To The Domestic Economy Flight ...,"Starting in February of 2016, United plans to bring free snacks back to economy on domestic flights, offering a range of savory snack mixes and",Forbes,economy,2015-12-14 15:24:15,0.12846752994434,0.0602449734191465,9,0,4
41386.0,World Bank says Chinese economy to slow to 6.75% growth,"China's economic growth is expected to slow to 6.7 per cent in 2016, the World Bank said in a report on Monday. The world's second largest",BusinessDay,economy,2016-04-11 14:21:21,-0.135416666666667,-0.159471988462447,0,0,1
80741.0,5-Minute-Interview: I was chosen to shake Obama's hand in KU,I was chosen to meet US President Barack Obama and shake hands with him when he visited Kenyatta University. A common misconception of,"The Star, Kenya",obama,2016-02-29 05:19:05,-0.0659556066263858,-0.233901043968524,1,0,0
95238.0,Obama calls on Sen. Paul to drop objections to tax treaties,President Barack Obama on Friday called on Sen. Rand Paul to drop his &quot;quirky&quot; objections to pending international tax treaties so they can move forward in Congress. … Click to Continue » ,The Rock Hill Herald,obama,2016-05-07 13:09:00,0.0157037158634252,0.0423527499148192,0,0,0
20842.0,"Microsoft Update Aims To Fix Surface Book And Surface Pro 4 Issues, But Users Still Frustrated"," Microsoft is fighting back against complaints that its Surface Pro 4 and Surface Book tablets are buggy, unstable and unreliable. On Wednesday, the company issued fresh new updates for both products, which aim to fix several issues including battery charging and Wi-Fi connectivity. Despite Microsoft's best efforts, though, users who have installed the updates are still reporting problems. ",International Business Times,microsoft,2016-01-28 07:35:00,0.005187031267242,0.0423033373722171,0,0,0
55955.0,Microsoft leads in annual global B2B ranking,"Microsoft has emerged the world's most valuable business-to-business (B2B) brand, according to the first annual BrandZTM ranking one of the",BusinessDay,microsoft,2016-06-13 00:40:15,0.0,0.149869735103523,-1,0,0
70342.0,WATCH: Judge Jeanine Only Needs 6 Words To Destroy Obama's ...,"Fox News' Judge Jeanine Pirro called President Barack Obama's stated intention to use executive action on gun control """"""the most dangerous",Western Journalism,obama,2016-01-04 18:44:44,-0.0421296296296297,0.010607814108694,5902,9,4
47145.0,One of Microsoft's most popular products is finally coming to ...,"Today, Microsoft ends years of waiting by announcing that a SharePoint app is coming soon for iPhone, followed by apps for Windows 10 and Android. With the",Business Insider,microsoft,2016-05-04 05:02:30,0.0889390591922357,-0.189987505915116,68,15,520
103279.0,White House rips 'obsessed' GOP for trying to question Obama on ...,The White House on Monday teed off on a Republican-led committee investigating the Benghazi attack for sending President Obama a list of,The Hill,obama,2016-06-27 21:00:13,-0.161224816197832,-0.153489777014236,31,0,0
1016.0,Microsoft sets up data centers in Germany amid US surveillance concerns," Microsoft is delivering its cloud services, including Azure, Office 365 and Dynamics CRM Online from two new datacenter regions in Germany, in a move that aims to deflect customer concerns about access to their data by U.S. surveillance. The data centers, located in Magdeburg and Frankfurt am Main, will be unusual in that control over the data will not be with Microsoft but with Deutsche Telekom ",PC World,microsoft,2015-11-11 04:57:00,0.0690963497990709,-0.15033830538882,17,5,26
11207.0,Start-ups could lead economic transformation through new tech,"New technologies are a key area of focus for the Committee on the Future Economy, which is led by Finance Minister Heng Swee Keat.",Channel News Asia,economy,2015-12-22 15:20:18,0.076388888888889,-0.138209056667454,10,1,18
17526.0,Francois Hollande pledges to 'redefine' the French economic model ...,"Francois Hollande, the French president, has vowed to &quot;redefine&quot; France's economic model to tackle his country's eye-wateringly high",Telegraph.co.uk,economy,2016-01-18 11:25:19,0.208333333333333,0.150024799537245,13,1,4
94412.0,"Obama sips water in Flint, tells residents it is safe","President Barack Obama sipped filtered water in Flint, Michigan, on Wednesday and assured parents that children over 6 years old could do the same during a visit to a city still reeling from a scandal over lead-poisoned drinking water. Obama made the trip to the mostly African-American community to reassure residents that the water was safe even as he predicted it would take more than two years ",Reuters via Yahoo! Finance,obama,2016-05-04 12:51:00,0.118585412256314,-0.0232826981712706,0,0,0
6927.0,As the US economy grows only the unexpected can halt an interest ...,As the US economy grows only the unexpected can halt an interest rate rise. With the jobs market growing it looks increasingly likely that the,The Guardian,economy,2015-12-04 14:40:13,-0.040093768693724,-0.0555277777777778,8,2,1
35745.0,Microsoft's new chatbot wants to hang out with millennials on Twitter,"Microsoft has created a new artificial intelligence chat bot that gets smarter the more you talk to it. By: Matt Burgess, Continue reading ",Wired UK,microsoft,2016-03-23 11:07:00,-0.0816593224898109,-0.378366780507734,165,17,38
86392.0,Barack Obama: Aretha Franklin 'captures the fullness of the ...,"""""""American history wells up when Aretha sings,"""""" President Barack Obama told the magazine's editor David Remnick. Obama referred both to",Entertainment Weekly,obama,2016-03-28 17:23:08,0.0520833333333333,0.0512432244843702,13,0,0
2670.0,US inflation turning corner; factory output rises,The economic outlook also got a boost from other data on Tuesday showing a fairly solid increase in manufacturing output in October after,Reuters,economy,2015-11-17 17:20:13,0.188982236504614,-0.078192905271403,130,12,80
41400.0,Profit From The No. 1 Threat To The Global Economy,"The British newspaper The Economist recently released its updated ranking of threats to the global economy, and number one on the list isn't what you might think. It's not ISIS, Russia or even low ",StreetAuthority Network via Yahoo! Finance,economy,2016-04-11 08:30:00,0.0694444444444443,-0.162089982207607,0,0,0
47708.0,Economy created 160000 jobs in April,"The economy added 160,000 jobs in April, the Labor Department reported Friday, down from 208,000 jobs in March. Unemployment was 5",Politico,economy,2016-05-06 13:36:18,0.0,-0.0124603017865338,77,4,1
66247.0,"Sorry, Obama: We need a real declaration of war on ISIS",The logical next step in the war on the Islamic State is for Congress to declare it. That's what President Obama seemed to suggest when he,New York Post,obama,2015-12-10 01:31:38,-0.297742452770542,0.0994199851742182,18,0,0
8882.0,Wyoming's economy dominates budget hearing talks,State lawmakers on Friday sidelined a plea for overhauling the funding system for Wyoming's seven community colleges and questioned why,Casper Star-Tribune Online,economy,2015-12-12 22:43:16,0.0,-0.0279508497187474,1,0,0
60697.0,Surface Phone Release Date Rumors: Will Microsoft Mainly Target ...,It's been a long time since we last saw any exciting release from Microsoft. The impatiently-awaited Surface Pro 5 and Surface Book 2 devices,MobiPicker,microsoft,2016-07-02 14:28:11,0.133680555555556,0.235664728387423,-1,1,0
45708.0,Microsoft interrupted a live broadcast to recommend Windows 10,"Tired of those Windows 10 reminders popping up constantly on your computer? So was Iowa meteorologist Metinka Slate, after it interrupted her live weather update. “Oh, Microsoft recommends Windows 10,” she said — on camera –after noticing the message, clearly annoyed but also trying to laugh it off. “What should I do?” Related: Don’t want anything to do with Windows 10? Here’s how to banish it ",Digital Trends via Yahoo! Finance,microsoft,2016-04-27 15:46:00,0.0613807969779992,0.0107421875,0,0,0
72776.0,Obama vows to protect religious minorities at home and abroad,Obama made no reference to any country in his speech but said that his administration works to promote religious freedom around the globe. ,rediff.com,obama,2016-01-16 01:45:00,0.0790569415042095,0.0499565783678408,1,0,0
55851.0,"Stop destroying the economy, Uhuru tells Cord",President Uhuru Kenyatta has called on the opposition to abandon their political posturing which is costing the economy billions of Shillings.,"The Star, Kenya",economy,2016-06-12 11:32:08,-0.14173667737846,-0.115928254187871,-1,2,0
47848.0,Is Obama economy in crash mode now?,"Talk-radio host Michael Savage recently warned his listeners that President Obama could """"""crash"""""" the economy """"""on his way out the door."""""".",WND.com,economy,2016-05-07 02:51:18,0.0,-0.0869459171387724,253,5,2
17470.0,Narwhal Capital Management Has $7592000 Stake in Microsoft Co ...,"Microsoft logo Narwhal Capital Management cut its position in Microsoft Co. (NASDAQ:MSFT) by 1.8% during the fourth quarter, according to its",EMQ,microsoft,2016-01-18 06:54:29,0.0,-0.119787890341705,0,0,0
12623.0,"Around the world with Santa, Google, and Microsoft",Google and Microsoft had their virtual eyes on Santa Claus and his gift-laden sleigh on Thursday. Each of the rival technology giants continued,The Hindu,microsoft,2015-12-30 00:33:22,0.0110485434560398,0.0,0,0,0
94225.0,Connecticut High School Teacher Earns Top Education Honor From ...,"Jahana Hayes, a social studies teacher at John F. Kennedy High School in Waterbury, Conn., was lauded by President Barack Obama with a",NBCNews.com,obama,2016-05-04 01:15:12,0.145833333333333,-0.372719515127021,143,2,43
50505.0,"Japan's Economy Grows Faster Than Expected, but Outlook Weak","Japan's economy grew at a better than expected 1.7 percent annual pace in the first quarter of this year, as solid consumer demand and higher government spending offset relatively weak business investment and sluggish exports ",ABC News,economy,2016-05-19 16:11:00,-0.0694444444444443,-0.0434105793641974,4,0,0
14755.0,Market sentiment on UK economy turns sour,Market sentiment on the UK economy turned sour on Thursday. The pound fell to its lowest level against the dollar for more than five years and,Financial Times,economy,2016-01-07 16:54:20,-0.109294726778502,-0.278566626952529,20,0,1
17619.0,UK economy could be in stronger shape if Bank of England had cut ...,"The UK's economy would be in better shape if the Bank of England had slashed its rates into negative territory during the crisis, a leading",Telegraph.co.uk,economy,2016-01-18 18:32:19,0.298446157871265,0.212222222222222,10,4,30
59128.0,Japan to hold emergency meeting over Brexit,"The focus of the meeting will be, in addition to the impact that UK's exit from the EU will have on the global economy, the negative effects on the",Economic Times,economy,2016-06-25 08:40:06,-0.200793626286152,-0.120895402459018,-1,3,0
95809.0,Obama to make historic first presidential visit to Hiroshima,"Barack Obama will become the first sitting US president to visit Hiroshima -- devastated by an atomic bomb in World War II -- during a trip to Japan later this month, the White House said Tuesday. ",AFP via Yahoo! News,obama,2016-05-10 06:11:00,0.0665277777777777,-0.243551810150299,39,0,0
3454.0,Microsoft Lumia 950 Review: Can a Smartphone Be Your PC?,"Microsoft gives the mobile market another try, this time with a phone that turns into a computer ",The Wall Street Journal,microsoft,2015-11-20 06:06:00,0.0,0.0454754296943124,132,67,42
66055.0,Elisabeth Hasselbeck Blames Obama For Trump's Proposed Muslim ...,"On Tuesday's edition of &quot;Fox &amp; Friends,&quot; co-host Elisabeth Hasselbeck blamed -- guess who? -- President Barack Obama for Donald Trump's",Huffington Post,obama,2015-12-09 00:24:38,0.0,0.0360886629247778,325,24,0
18741.0,Slower global economy hits GE earnings in 2015,"A slowing global economy and major corporate adjustments pushed General Electric into a loss in 2015, but the US industrial giant reported firm gains for the fourth quarter on Friday. GE said sales fell 1.3 percent in the quarter to $30.5 billion and costs surged but tax and other benefits helped it turn in a 22.3 percent gain in net earnings at $6.3 billion. Sales revenues were also down in the ",AFP via Yahoo! News,economy,2016-01-22 05:31:00,0.0472455591261534,-0.152678325920459,0,0,0
73605.0,President Obama: I Won't Speak at Malia's Graduation Because 'I'm ...,"President Barack Obama, with his daughters, Sasha, left, and Malia, speaks before he pardoned the National Thanksgiving Turkey Abe, Nov.",ABC News,obama,2016-01-21 00:05:21,-0.0395284707521047,-0.0559016994374947,5856,63,4
19901.0,Microsoft aims to become more gender-inclusive with first Hack for ...,"Though technology has been a largely male sector for decades, Hack for Her looks to be Microsoft's latest move towards integrating both",WinBeta,microsoft,2016-01-27 14:33:29,0.254400196987488,-0.0799502686333539,5,1,0
1742.0,Google drops Chrome support for older Microsoft and Apple OS,"Google will no longer offer Chrome support for Windows XP, Vista and several older versions of Mac OS X, the company announced, along",SC Magazine UK,microsoft,2015-11-13 14:40:16,-0.276699295264733,-0.208514414057075,1,0,0
15274.0,Microsoft gained a couple of allies for its Windows Phone,"Microsoft's mobile platform remains in a precarious position, but these additional devices suggest that handset vendors at least have some interest in Windows",Business Insider,microsoft,2016-01-09 06:20:25,-0.118585412256314,-0.0181002095535656,20,0,8
24445.0,Financial disruptions distract us from progress in rebalancing real ...,The prospect of an economic meltdown in China has been sending tremors through global financial markets at the start of 2016. Yet such fears,Shanghai Daily (subscription),economy,2016-02-14 16:40:24,0.125,0.102953991940681,0,0,0
86765.0,Canada calls on UN to review Palestine human rights appointment,But supporters and experts on the Israel-Palestine conflict in Canada say Ottawa has dangerously tarnished the reputation of a respected legal,Middle East Eye,palestine,2016-03-29 22:24:15,0.0395284707521047,0.0199875671583385,56,1,5
53590.0,Asus Transformer 3 Pro vs Microsoft Surface Pro 4: What's the ...,"Well, for starters, the Transformer 3 Pro looks almost identical to Microsoft's high-end hybrid. Of course, there are some subtle """""" and some",TrustedReviews,microsoft,2016-06-01 16:40:13,0.0833333333333333,0.186723719729453,3,1,4
45860.0,New HP Chromebook 13 for Businesses Integrates with Microsoft ...,"That is, business customers who are using a Microsoft infrastructure""""""e.g. """"""business customers""""""""""""can take advantage of an improved Citrix",Thurrott.com (blog),microsoft,2016-04-28 14:55:29,-0.051559869461519,0.0290957186981322,2,0,0
93261.0,Trump's claim that no foreign leader greeting Obama was 'without ...,Trump's claim that no foreign leader greeting Obama was 'without precedent'. The inside track on Washington politics. Be the first to know,Washington Post,obama,2016-04-29 08:35:15,-0.0230582746053945,0.14775994091868,131,10,1
49492.0,German economy powers up as Italy’s debt pile grows,"Germany’s economy more than doubled its expansion rate in the first quarter as spending picked up, cementing its role as the growth engine for the region, while Italy’s economy expanded in the first quarter but still posted a record high government debt. ",Irish Examiner,economy,2016-05-13 18:05:00,0.0329403922934207,0.017004880892109,3,0,0
100741.0,VIDEO: Palestinian photo-journalist finally allowed into UK to tour ...,A PALESTINIAN photo-journalist has been given approval to enter the UK for a tour of Scotland after being twice refused for a visa. Acclaimed,Herald Scotland,palestine,2016-06-10 01:55:49,0.0,-0.06875,94,0,0
66738.0,Obama's fragile climate legacy,President Barack Obama wants to be remembered as the president who saved the world from climate change. But the 195-nation accord aimed,Politico,obama,2015-12-13 17:34:39,0.0,-0.0957182382804876,123,23,22
12720.0,Russia's financial market facing investment inflow over last 6 months ...,"MOSCOW, December 30. /TASS/. Russia's financial market has evidenced investment inflow over the last 6 months, Finance Minister Anton",TASS,economy,2015-12-30 09:20:23,-0.173611111111111,-0.0656867317806734,7,0,0
89834.0,Scarborough: Obama has 'rigged' FBI's Clinton probe,"""""""[Obama] said he wasn't going to talk to the attorney general about the pending investigation, but he just did,"""""" Scarborough said on Monday's",The Hill (blog),obama,2016-04-12 15:15:08,0.0590569489076918,0.256298967278488,311,3,1
38344.0,Expand skills base to help economy - Ramaphosa,"With a skilled citizenry, the country could expand its industrial sector and process more raw materials because skills grow the economy, create",Independent Online,economy,2016-03-30 08:06:17,-0.0288722861326494,-0.0340528921956878,3,1,3
47397.0,Microsoft sheds more light on what's going down at this year's E3,Microsoft has announced that the Xbox E3 2016 Briefing will happen on June 13 starting at 9:30 a.m. PDT. At the briefing the company says,SiliconANGLE (blog),microsoft,2016-05-05 06:40:20,0.0517331329375431,0.078192905271403,0,0,2
36313.0,Microsoft received more than 500 requests to take down revenge porn,Microsoft has acted on 338 requests to take down nude images shared non-consensually through its services as part of a new program aimed at curbing &quot;revenge porn.&quot; ,CIO,microsoft,2016-03-25 18:20:00,-0.162182021456657,-0.0585617329511484,1,0,1
48352.0,Southern Alberta food banks feel pressure of slowing economy,"Food banks across the province are feeling the pressure from an ever slowing economy, with more and more Albertans losing their jobs, and",Globalnews.ca,economy,2016-05-09 23:04:19,-0.0409722222222223,-0.0260643017571343,13,0,0
23431.0,Australian Treasury Sec. Fraser: China is a risk to global economy,Australian Treasury Sec. Fraser: China is a risk to global economy. Tue 9 Feb 2016 22:55:48 GMT. Author: Eamonn Sheridan | Category: News. Author: Eamonn,ForexLive,economy,2016-02-09 22:56:24,-0.0376889180722205,-0.027277236279499,1,0,0
17339.0,Govt says economy remains strong despite global volatilities,"The Philippines is less sensitive to shocks and is poised to maintain a positive growth trajectory this year, despite current volatilities in the global economy, government economic managers said over the weekend. ",Manila Standard Today,economy,2016-01-17 08:05:00,0.0,-0.169410999659277,0,0,0
52123.0,The Push to Help Uber and Other Gig Economy Workers,"At a hearing titled The Sharing Economy: A Taxing Experience for New Entrepreneurs Part I, ITIF senior fellow, Joe Kennedy, made the case for",Black Enterprise,economy,2016-05-26 16:20:07,0.0362344315227626,-0.106314658974964,4,0,0
83109.0,Obama recommends extending phone subsidy to broadband,WASHINGTON — The Obama administration says a discount designed to help low-income Americans purchase telephone service should be extended to cover the Internet. ,Minneapolis-St. Paul Star Tribune,obama,2016-03-09 14:23:00,0.0,0.0043440502928556,0,0,0
65764.0,Hamas: Judea-Samaria the geographic key for 'freeing Palestine',Hamas: Judea-Samaria the geographic key for 'freeing Palestine'. Hamas leader says current intifada will prepare the groundwork for,Arutz Sheva,palestine,2015-12-07 06:24:50,0.0,0.0,31,1,0
1040.0,Microsoft agrees to store customer data in Germany,"US tech giant Microsoft has put new data centres in Germany under the control of Deutsche Telekom, the companies said Wednesday, in a move that will keep privacy-sensitive Germans' customer data in the country. After scandals over US surveillance programmes that spooked Europeans, Deutsche Telekom will serve as &quot;custodian&quot; for Microsoft's cloud-based services in Germany. &quot;All customer data will ",AFP via Yahoo! News,microsoft,2015-11-11 06:15:00,0.0,-0.190104166666667,5,0,0
104464.0,Obama to Campaign With Clinton as FBI Probe Looms,"The fates of Clinton and Barack Obama, two former bitter rivals, are now inextricably bound together. ",NBC NEWS,obama,2016-07-05 04:39:00,0.0104166666666667,0.0188802083333333,94,3,4
23799.0,Microsoft Skype Teams Up With Paul McCartney for Love Mojis,"Sir Paul McCartney, a musician who gained fame as one of the members of popular music band The Beatles, will be helping Microsoft with the",NDTV,microsoft,2016-02-11 09:07:31,0.144937726091051,-0.025,15,0,0
42046.0,RELEASE: CAP Report Shows How Strengthening the Palestinian ...,"Washington, D.C. """""" In the face of stalled peace negotiations with Israel, the Palestinian economy faces real and significant economic",Center For American Progress,economy,2016-04-13 19:01:21,-0.0128899673653798,-0.148139503509361,0,0,0
82210.0,What will be Michelle Obama's legacy?,The White House's first black first lady will depart next year. Two commentators consider Michelle Obama's legacy as she prepares to leave,BBC News,obama,2016-03-08 00:37:05,0.0,0.0075878727175172,269,4,19
103908.0,Obama: Immigration stands as most glaring failure,"WASHINGTON - Hours after the Supreme Court sent his immigration policy into legal limbo, President Barack Obama huddled around a long",Newsday,obama,2016-07-01 03:00:12,0.0206699321176921,0.181680523171858,-1,0,0
77202.0,Pro-Palestinian Group Hands Out Fake NYT to Criticize 'pro-Israel ...,"The people behind the parodied edition are unidentified, but an organization called 'The Yes Men' reportedly produced something similar in",Haaretz,palestine,2016-02-02 00:00:00,-0.254400196987488,0.0,-1,-1,-1
104319.0,President Obama Presses Congress To Fund Zika Virus Prevention ...,The monies that President Obama budgeted for combating the Zika Virus are stuck in a deadlocked Congress. The President points out that,UPROXX,obama,2016-07-04 12:24:14,-0.208333333333333,-0.21320071635561,10,0,0
14765.0,Microsoft Windows boss says Microsoft has won the PC battle but ...,"Judging by a CES 2016 event I attended this week hosted by Microsoft, you'd be forgiven for thinking that it's &quot;Mission Accomplished&quot; time. In fact, most of the",Business Insider,microsoft,2016-01-07 16:59:25,0.131911213252772,-0.104453627724592,19,5,9
42496.0,How Will China's Economy Fare During the Rest of 2016?,"Kelvin Tay, regional chief investment officer for southern APAC at UBS Wealth Management CIO Office, discusses the outlook for China's",Bloomberg,economy,2016-04-15 03:05:14,0.0,0.0,1,0,0
18079.0,Economy doesn't warrant rate cut,Could things really go so badly wrong that the Reserve Bank will have to cut interest rates again in the next few months? The question is worth,The Mercury,economy,2016-01-20 06:08:23,-0.14581977312454,-0.076940623990071,0,0,0
13715.0,"Nigerian economy, entrepreneurship and banking","Entrepreneurs occupy a central position in any market economy. They serve as the spark plug in the economy's engine, activating and",BusinessDay,economy,2016-01-04 10:20:19,0.0,0.0,1,0,0
43173.0,China posts slowest quarterly growth on record: govt,"Beijing (AFP) - China's economy grew in the first three months of 2016 at its slowest quarter-on-quarter rate since it began releasing the data, the government said, while the real-estate sector rebounded thanks to aggressive stimulus. ",AFP via Yahoo!7 News,economy,2016-04-17 23:22:00,0.143631064928517,0.0873369620059711,0,0,0
67808.0,Obama digs in on plan to close Gitmo prison camp - VIDEO: President Obama to present Congress with Gitmo plan ...,"President Obama doubled down Friday on his push to shutter the Guantanamo Bay prison camp, calling it a magnet for “jihadi recruitment” and vowing to present his closure plan to Congress -- while keeping his cards close to the vest on whether he’d try to use executive action to finish the job. ",Fox News,obama,2015-12-18 15:34:00,0.0220494010886706,0.150965606789509,548,96,7
25462.0,"Mizuho, Microsoft Japan Trial Blockchain System for Syndicated Loans",Financial services giant Mizuho has announced a second blockchain technology trial to be focused on syndicated loans. Announced on 16th,CoinDesk,microsoft,2016-02-18 15:18:33,-0.125,-0.167705098312484,45,17,42
93313.0,Get Your Countdown Clock For The End Of Obama's Presidency,"On that date, our long national nightmare will be over. Barack Obama will no longer be president of the United States. You can even start the",Daily Caller,obama,2016-04-29 17:35:13,0.0524411045311256,0.0046986157376856,34,0,0
30632.0,Economy minister launches PL's Kwalita Malta project,"Economy minister Chris Cardona this morning launched the second edition of the Labour Party's Kwalita Malta project, a fair which aims to",Times of Malta,economy,2016-03-11 09:19:30,0.0,-0.0266500895444513,9,0,0
6163.0,RBA's Stevens Says Post-Boom Economy Looks `Quite Respectable',Reserve Bank of Australia Governor Glenn Stevens said the economy is adjusting well to falling commodity prices and declining resource,Bloomberg,economy,2015-12-02 02:55:12,-0.0572916666666667,0.163228164743622,3,0,1
99000.0,White House on lockdown with Obama inside,"The north side of the White House has been placed on a security lockdown due to a suspicious package, a Secret Service official confirmed.",Metro,obama,2016-05-30 19:55:29,-0.0209980262782906,-0.284037330561446,26,0,0
81793.0,"Henrik Lundqvist's Favorite Fashion Things, and Will Obama Ever ...","NEW YORK CITY""""""Rumors flew last year that President Obama would teach at his alma mater Columbia Law School post-White House, but",Racked NY,obama,2016-03-04 20:06:10,0.0,0.0434405029285574,0,1,8
32224.0,Uber-like car repair business sees growth despite economy,An Alberta-based auto mechanic business that operates a lot like Uber is seeing its customer base grow despite tough economic times.,660 News,economy,2016-03-17 20:20:33,-0.21875,0.0449720261062616,2,0,0
79253.0,Palestine: N. Korea Provocations Cannot be Tolerated,The Foreign Affairs Minister of the Palestinian National Authority says North Korea's recent nuclear test and long-range missile launch can,KBS WORLD Radio News,palestine,2016-02-20 00:00:00,0.0,0.0545544725589981,-1,-1,-1
75564.0,UN voices concern over stalled Israel-Palestine talks,"They have swelled into more than five million UN-registered refugees in camps across Lebanon, Syria, Jordan and the occupied Palestinian",GhanaWeb,palestine,2016-02-01 19:57:39,-0.110485434560398,-0.0681930906987476,0,0,0
12461.0,OMVS: Flow of Venture Capital Into Shared Economy Companies Validates Business Model,"Consumers aren’t the only fans of the shared economy - investors are also giving the revolutionary, cost-effective way of delivering goods and services a vote of confidence. An increasing amount of venture capital is infusing a steady stream of seed money to a dizzying array of startups. ",Business Wire via Yahoo! Finance,economy,2015-12-29 02:00:00,0.162379763209582,-0.205981736664007,1,0,0
30958.0,It's Not Every US Election That Can Destabilize The Economy,"A man is led away in handcuffs outside Republican presidential candidate Donald Trump's canceled event in Chicago on March 11, 2016.",Forbes,economy,2016-03-13 04:45:27,-0.276699295264733,-0.150554075352556,88,8,38
